"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2023","2.6847","2.7150","2.7581","2.6724","35.00K","3.01%"
"03/22/2023","2.6063","2.5709","2.6374","2.5438","61.32K","1.30%"
"03/21/2023","2.5729","2.5571","2.5793","2.5112","48.04K","0.59%"
"03/20/2023","2.5578","2.5400","2.5718","2.4575","45.13K","0.42%"
"03/17/2023","2.5472","2.5300","2.6102","2.5038","52.18K","0.45%"
"03/16/2023","2.5358","2.5162","2.5467","2.4238","46.45K","1.17%"
"03/15/2023","2.5065","2.6350","2.6600","2.4469","50.92K","-7.66%"
"03/14/2023","2.7144","2.7704","2.7960","2.7017","45.56K","-1.71%"
"03/13/2023","2.7615","2.7792","2.8080","2.6456","60.54K","-0.41%"
"03/10/2023","2.7729","2.6664","2.7923","2.6294","56.65K","3.90%"
"03/09/2023","2.6689","2.7331","2.7800","2.6647","55.82K","-2.66%"
"03/08/2023","2.7419","2.7842","2.8058","2.7168","56.16K","-1.99%"
"03/07/2023","2.7975","2.8894","2.9065","2.7742","49.75K","-3.09%"
"03/06/2023","2.8866","2.9099","2.9100","2.8310","40.50K","-0.91%"
"03/03/2023","2.9131","2.8527","2.9198","2.8005","43.77K","1.64%"
"03/02/2023","2.8662","2.8718","2.9107","2.8382","56.68K","-0.26%"
"03/01/2023","2.8738","2.7982","2.8753","2.7920","44.21K","1.88%"
"02/28/2023","2.8209","2.8199","2.8613","2.7947","3.55K","0.04%"
"02/27/2023","2.8198","2.8006","2.8400","2.7779","18.22K","1.90%"
"02/24/2023","2.7671","2.7030","2.7795","2.6662","52.30K","2.84%"
"02/23/2023","2.6908","2.6875","2.7288","2.6517","65.05K","-0.41%"
"02/22/2023","2.7018","2.7728","2.7882","2.6869","48.48K","-3.23%"
"02/21/2023","2.7919","2.7306","2.8200","2.6935","34.04K","1.40%"
"02/20/2023","2.7534","2.7367","2.7817","2.7182","","0.61%"
"02/19/2023","2.7368","2.7396","2.7399","2.7305","","0.91%"
"02/17/2023","2.7121","2.7950","2.7965","2.6577","34.78K","-3.51%"
"02/16/2023","2.8108","2.8444","2.8874","2.7816","24.41K","-1.18%"
