Date,Price,Open,High,Low,Vol.,Change %
7/23/2023,2.74,2.7496,2.7496,2.7396,,-0.61%
7/21/2023,2.7567,2.7067,2.7593,2.7015,14.12K,2.22%
7/20/2023,2.6967,2.6755,2.7083,2.654,17.86K,0.98%
7/19/2023,2.6705,2.636,2.6892,2.62,28.16K,1.47%
7/18/2023,2.6317,2.5849,2.6415,2.5699,21.84K,2.35%
7/17/2023,2.5714,2.566,2.5975,2.5473,30.94K,-2.11%
7/16/2023,2.6267,2.6281,2.6303,2.6219,,1.71%
7/14/2023,2.5825,2.6165,2.6174,2.5704,29.21K,-1.21%
7/13/2023,2.614,2.5985,2.6203,2.5741,25.64K,0.79%
7/12/2023,2.5935,2.5455,2.6035,2.5441,28.09K,-1.11%
7/11/2023,2.6227,2.581,2.6277,2.578,4.93K,2.07%
7/10/2023,2.5696,2.588,2.6032,2.5523,5.75K,-0.48%
7/9/2023,2.5819,2.5807,2.5858,2.5797,,-0.29%
7/7/2023,2.5893,2.5477,2.5993,2.539,11.38K,1.79%
7/6/2023,2.5438,2.5095,2.5504,2.465,13.95K,1.01%
7/5/2023,2.5183,2.5071,2.5557,2.5037,5.42K,0.03%
7/4/2023,2.5175,2.4808,2.5241,2.475,1.02K,2.24%
7/3/2023,2.4624,2.543,2.5602,2.461,6.31K,-2.95%
7/2/2023,2.5373,2.5366,2.5406,2.5319,,-0.30%
6/30/2023,2.5449,2.4998,2.5476,2.4846,10.23K,-2.78%
6/29/2023,2.6177,2.61,2.63,2.6,0.12K,0.55%
6/28/2023,2.6034,2.5521,2.616,2.5301,0.71K,3.44%
6/27/2023,2.5168,2.5474,2.562,2.5091,1.16K,-0.82%
6/26/2023,2.5375,2.5163,2.5505,2.5054,0.70K,2.82%
6/25/2023,2.4679,2.4523,2.47,2.4523,,-1.96%
6/23/2023,2.5172,2.5288,2.5373,2.48,0.68K,-1.29%
6/22/2023,2.5501,2.6002,2.6056,2.53,0.91K,-2.82%
6/21/2023,2.6241,2.6125,2.6337,2.559,1.03K,0.57%
6/20/2023,2.6092,2.6552,2.662,2.575,2.37K,-1.80%
6/19/2023,2.6569,2.6473,2.6782,2.647,1.09K,-0.29%
6/18/2023,2.6646,2.6707,2.6709,2.6637,,-0.59%
6/16/2023,2.6805,2.6451,2.6815,2.6303,7.47K,1.47%
6/15/2023,2.6417,2.5522,2.6586,2.5522,7.89K,3.41%
6/14/2023,2.5546,2.5393,2.5858,2.5393,5.51K,-0.13%
6/13/2023,2.5579,2.4966,2.5762,2.4966,8.43K,3.03%
6/12/2023,2.4826,2.5729,2.5729,2.4761,11.33K,-4.05%
6/11/2023,2.5875,2.5907,2.5935,2.582,,-0.22%
6/9/2023,2.5932,2.6,2.6345,2.5874,7.76K,-0.75%
6/8/2023,2.6127,2.6548,2.6809,2.5382,11.71K,-1.08%
6/7/2023,2.6412,2.5396,2.6525,2.5325,13.88K,3.00%
6/6/2023,2.5643,2.5321,2.5755,2.4949,14.07K,1.58%
6/5/2023,2.5244,2.5485,2.5722,2.5149,11.38K,-0.88%
6/4/2023,2.5467,2.556,2.5697,2.5439,,1.84%
6/2/2023,2.5007,2.442,2.515,2.442,10.60K,2.65%
6/1/2023,2.4362,2.4445,2.4842,2.402,11.07K,-0.31%
5/31/2023,2.4438,2.4706,2.4846,2.4179,15.81K,-5.86%
5/30/2023,2.5959,2.5968,2.599,2.5812,0.48K,-4.06%
5/29/2023,2.7058,2.6893,2.6893,2.6725,0.19K,0.09%
5/26/2023,2.7034,2.6879,2.7207,2.685,0.92K,1.12%
5/25/2023,2.6735,2.6721,2.6782,2.6204,0.69K,-1.75%
5/24/2023,2.7212,2.6938,2.7213,2.6913,0.53K,2.22%
5/23/2023,2.6622,2.6559,2.7188,2.6559,1.81K,0.50%
5/22/2023,2.6489,2.5578,2.6765,2.5578,1.79K,2.79%
5/21/2023,2.577,2.5798,2.58,2.5745,,3.17%
5/19/2023,2.4977,2.526,2.5514,2.4867,13.58K,-0.29%
5/18/2023,2.5049,2.511,2.5183,2.4849,20.03K,-0.36%
5/17/2023,2.5139,2.4279,2.5195,2.4142,28.32K,3.48%
5/16/2023,2.4294,2.4303,2.4393,2.4006,21.24K,0.24%
5/15/2023,2.4235,2.3745,2.4335,2.3578,31.98K,-0.24%
5/14/2023,2.4293,2.4327,2.4347,2.4264,,-0.04%
5/12/2023,2.4302,2.4607,2.4757,2.417,7.71K,-1.12%
5/11/2023,2.4577,2.5074,2.5112,2.4472,4.66K,-1.49%
5/10/2023,2.4949,2.4898,2.5116,2.458,6.43K,0.60%
5/9/2023,2.4799,2.449,2.4824,2.4135,5.30K,0.74%
5/8/2023,2.4616,2.3921,2.4683,2.3921,5.64K,3.13%
5/7/2023,2.3868,2.3896,2.3927,2.3865,,0.33%
5/5/2023,2.379,2.3337,2.4,2.3337,5.74K,2.28%
5/4/2023,2.3259,2.3017,2.3586,2.2915,6.83K,0.16%
5/3/2023,2.3221,2.4304,2.4304,2.3063,6.47K,-4.66%
5/2/2023,2.4357,2.544,2.5563,2.4258,6.67K,-4.50%
5/1/2023,2.5504,2.5106,2.5565,2.48,5.73K,1.52%
4/30/2023,2.5123,2.5238,2.5275,2.511,,-0.70%
4/28/2023,2.5301,2.5074,2.553,2.476,7.79K,-0.11%
4/27/2023,2.5328,2.541,2.5575,2.541,0.16K,-0.65%
4/26/2023,2.5494,2.615,2.615,2.5452,1.02K,-1.51%
4/25/2023,2.5886,2.6449,2.6517,2.5626,1.08K,-1.64%
4/24/2023,2.6318,2.6,2.6452,2.578,1.19K,2.49%
4/23/2023,2.5678,2.5707,2.5715,2.5663,,-0.29%
4/21/2023,2.5753,2.5627,2.6086,2.5545,8.04K,0.60%
4/20/2023,2.56,2.5835,2.59,2.5333,9.44K,-2.03%
4/19/2023,2.6131,2.6844,2.6924,2.6057,11.95K,-3.51%
4/18/2023,2.7082,2.7355,2.7402,2.6856,8.56K,-2.37%
4/17/2023,2.774,2.8266,2.8316,2.7556,4.88K,-2.03%
4/16/2023,2.8316,2.8309,2.8326,2.8277,,-0.15%
4/14/2023,2.8359,2.841,2.8426,2.8044,6.07K,0.15%
4/13/2023,2.8317,2.8443,2.8522,2.825,9.34K,-1.43%
4/12/2023,2.8727,2.8521,2.8922,2.8168,11.03K,0.26%
4/11/2023,2.8652,2.8325,2.867,2.7915,12.93K,2.04%
4/10/2023,2.8079,2.815,2.8224,2.769,10.96K,-0.15%
4/9/2023,2.8121,2.8158,2.8258,2.8102,,-0.04%
4/6/2023,2.8133,2.8245,2.8417,2.7894,11.20K,-0.24%
4/5/2023,2.8201,2.7616,2.824,2.7401,19.10K,3.03%
4/4/2023,2.7371,2.771,2.7885,2.7014,12.43K,-0.74%
4/3/2023,2.7575,2.7236,2.7907,2.7236,12.49K,-0.80%
4/2/2023,2.7796,2.815,2.8159,2.7783,,3.68%
3/31/2023,2.681,2.6234,2.6924,2.6054,11.14K,0.74%
3/30/2023,2.6614,2.6315,2.665,2.6315,0.17K,-0.25%
3/29/2023,2.6681,2.7313,2.7323,2.6562,0.70K,-1.62%
3/28/2023,2.7121,2.6772,2.7131,2.6559,1.61K,1.04%
3/27/2023,2.6842,2.607,2.6928,2.6031,1.96K,4.94%
3/26/2023,2.5579,2.5599,2.5648,2.5545,,0.12%
3/24/2023,2.5548,2.5703,2.5766,2.4971,7.17K,-0.48%
3/23/2023,2.5671,2.5419,2.6108,2.5377,10.49K,0.28%
3/22/2023,2.56,2.4915,2.5675,2.4822,9.18K,2.14%
3/21/2023,2.5063,2.4842,2.5293,2.4755,5.65K,0.38%
3/20/2023,2.4968,2.4692,2.4987,2.3817,10.59K,-0.45%
