Date,Price,Open,High,Low,Vol.,Change %
4/4/2023,2.6667,2.6697,2.7013,2.6092,55.35K,0.15%
4/3/2023,2.6626,2.7235,2.7642,2.6509,57.12K,-0.51%
3/31/2023,2.6763,2.64,2.683,2.6286,3.00K,2.00%
3/30/2023,2.6237,2.6498,2.6823,2.621,14.29K,-1.29%
3/29/2023,2.6581,2.7581,2.7666,2.6416,21.74K,-4.03%
3/28/2023,2.7696,2.7647,2.8073,2.7407,25.71K,-0.03%
3/27/2023,2.7704,2.715,2.7767,2.6819,34.89K,2.79%
3/24/2023,2.6952,2.6847,2.725,2.6188,27.64K,0.39%
3/23/2023,2.6847,2.715,2.7581,2.6724,35.00K,3.01%
3/22/2023,2.6063,2.5709,2.6374,2.5438,61.32K,1.30%
3/21/2023,2.5729,2.5571,2.5793,2.5112,48.04K,0.59%
3/20/2023,2.5578,2.54,2.5718,2.4575,45.13K,0.42%
3/17/2023,2.5472,2.53,2.6102,2.5038,52.18K,0.45%
3/16/2023,2.5358,2.5162,2.5467,2.4238,46.45K,1.17%
3/15/2023,2.5065,2.635,2.66,2.4469,50.92K,-7.66%
3/14/2023,2.7144,2.7704,2.796,2.7017,45.56K,-1.71%
3/13/2023,2.7615,2.7792,2.808,2.6456,60.54K,-0.41%
3/10/2023,2.7729,2.6664,2.7923,2.6294,56.65K,3.90%
3/9/2023,2.6689,2.7331,2.78,2.6647,55.82K,-2.66%
3/8/2023,2.7419,2.7842,2.8058,2.7168,56.16K,-1.99%
3/7/2023,2.7975,2.8894,2.9065,2.7742,49.75K,-3.09%
3/6/2023,2.8866,2.9099,2.91,2.831,40.50K,-0.91%
3/3/2023,2.9131,2.8527,2.9198,2.8005,43.77K,1.64%
3/2/2023,2.8662,2.8718,2.9107,2.8382,56.68K,-0.26%
3/1/2023,2.8738,2.7982,2.8753,2.792,44.21K,1.88%
2/28/2023,2.8209,2.8199,2.8613,2.7947,3.55K,0.04%
2/27/2023,2.8198,2.8006,2.84,2.7779,18.22K,1.90%
2/24/2023,2.7671,2.703,2.7795,2.6662,52.30K,2.84%
2/23/2023,2.6908,2.6875,2.7288,2.6517,65.05K,-0.41%
2/22/2023,2.7018,2.7728,2.7882,2.6869,48.48K,-3.23%
2/21/2023,2.7919,2.7306,2.82,2.6935,34.04K,1.40%
2/20/2023,2.7534,2.7367,2.7817,2.7182,,0.61%
2/19/2023,2.7368,2.7396,2.7399,2.7305,,0.91%
2/17/2023,2.7121,2.795,2.7965,2.6577,34.78K,-3.51%
2/16/2023,2.8108,2.8444,2.8874,2.7816,24.41K,-1.18%
2/15/2023,2.8444,2.9179,2.93,2.802,33.75K,-3.25%
2/14/2023,2.9401,2.8862,2.9496,2.8524,40.02K,1.18%
2/13/2023,2.9057,2.87,2.9223,2.8188,38.25K,1.43%
2/10/2023,2.8646,2.8175,2.9129,2.8027,41.34K,1.75%
2/9/2023,2.8154,2.9009,2.93,2.7905,42.55K,-2.69%
2/8/2023,2.8933,2.908,2.9774,2.8629,50.42K,-0.38%
2/7/2023,2.9044,2.769,2.9106,2.7607,57.89K,4.90%
2/6/2023,2.7687,2.7844,2.8142,2.6653,56.84K,-0.24%
2/3/2023,2.7753,2.9061,2.9311,2.767,56.91K,-4.19%
2/2/2023,2.8967,2.9647,2.9775,2.8911,53.72K,-1.84%
2/1/2023,2.9511,3.1421,3.1502,2.9265,63.18K,-7.27%
1/31/2023,3.1823,3.1135,3.208,3.057,1.99K,2.30%
1/30/2023,3.1108,3.2816,3.292,3.1,19.72K,-4.74%
1/27/2023,3.2655,3.3974,3.4361,3.25,26.39K,-3.86%
1/26/2023,3.3965,3.3597,3.4269,3.3146,23.57K,1.05%
1/25/2023,3.3613,3.4598,3.5156,3.325,30.17K,-1.92%
