Date,Price,Open,High,Low,Vol.,Change %
6/23/2021,73.08,72.91,74.25,72.82,429.21K,0.03%
6/22/2021,73.06,73.41,73.95,72.94,29.00K,-0.81%
6/21/2021,73.66,71.52,73.96,71.15,123.66K,2.82%
6/18/2021,71.64,71.1,72.17,70.16,139.58K,0.84%
6/17/2021,71.04,71.65,72.3,69.77,373.78K,-1.54%
6/16/2021,72.15,72.45,72.99,71.61,426.78K,0.04%
6/15/2021,72.12,71.16,72.49,70.81,336.04K,1.75%
6/14/2021,70.88,70.65,71.78,70.65,319.64K,-0.04%
6/11/2021,70.91,70.1,71.24,69.68,563.58K,0.88%
6/10/2021,70.29,69.76,70.65,68.68,492.46K,0.47%
6/9/2021,69.96,70.01,70.62,69.46,410.82K,-0.13%
6/8/2021,70.05,69.29,70.27,68.47,441.30K,1.18%
6/7/2021,69.23,69.52,70,68.93,365.62K,-0.56%
6/4/2021,69.62,68.91,69.76,68.33,326.25K,1.18%
6/3/2021,68.81,68.76,69.4,68.19,351.37K,-0.03%
6/2/2021,68.83,67.99,69,67.78,333.00K,1.64%
6/1/2021,67.72,66.68,68.87,66.41,570.99K,1.14%
5/31/2021,66.96,66.58,67.41,66.41,,0.56%
5/30/2021,66.59,66.7,66.75,66.53,,0.41%
5/28/2021,66.32,66.95,67.52,66.17,390.46K,-0.79%
5/27/2021,66.85,66.16,66.92,65.47,337.54K,0.97%
5/26/2021,66.21,66.04,66.43,65.25,376.21K,0.21%
5/25/2021,66.07,66.02,66.51,65.41,497.39K,0.03%
5/24/2021,66.05,63.87,66.14,63.63,466.65K,3.88%
5/21/2021,63.58,61.89,64.07,61.56,530.83K,2.47%
5/20/2021,62.05,63.39,63.96,61.89,29.62K,-2.07%
5/19/2021,63.36,65.28,65.35,61.95,101.90K,-3.25%
5/18/2021,65.49,66.33,67.01,64.11,167.35K,-1.18%
5/17/2021,66.27,65.5,66.43,64.83,268.48K,1.38%
5/14/2021,65.37,63.83,65.62,63.33,383.75K,2.43%
5/13/2021,63.82,65.75,65.81,63.09,547.69K,-3.42%
5/12/2021,66.08,65.46,66.63,64.97,508.52K,1.23%
5/11/2021,65.28,64.9,65.5,63.68,514.95K,0.55%
5/10/2021,64.92,65.57,65.75,63.95,448.34K,0.03%
5/7/2021,64.9,64.9,65.24,63.9,431.42K,0.29%
5/6/2021,64.71,65.27,65.98,64.5,389.21K,-1.40%
5/5/2021,65.63,66.45,66.76,64.92,460.07K,-0.09%
5/4/2021,65.69,64.53,66.19,64.29,370.21K,1.86%
5/3/2021,64.49,63.64,64.68,62.91,285.97K,1.43%
4/30/2021,63.58,64.88,64.95,63.08,400.52K,-2.20%
4/29/2021,65.01,63.7,65.47,63.65,384.49K,1.80%
4/28/2021,63.86,63.04,64.53,62.67,387.68K,1.46%
4/27/2021,62.94,61.97,63.3,61.91,361.54K,1.66%
4/26/2021,61.91,62.06,62.31,60.66,366.87K,-0.37%
4/23/2021,62.14,61.65,62.43,61.25,345.41K,1.16%
4/22/2021,61.43,61.11,61.87,60.61,344.70K,0.13%
4/21/2021,61.35,62.39,62.56,60.86,431.49K,-1.75%
4/20/2021,62.44,63.47,64.25,61.5,33.04K,-1.48%
4/19/2021,63.38,62.98,63.63,62.63,74.38K,0.40%
4/16/2021,63.13,63.32,63.88,62.83,87.80K,-0.52%
4/15/2021,63.46,62.83,63.57,62.53,243.37K,0.49%
4/14/2021,63.15,60.44,63.44,60.38,419.81K,4.94%
4/13/2021,60.18,59.64,60.59,59.64,349.73K,0.80%
4/12/2021,59.7,59.35,60.77,58.73,410.22K,0.64%
4/9/2021,59.32,59.76,59.95,59.1,351.44K,-0.47%
4/8/2021,59.6,59.52,59.93,58.82,419.91K,-0.28%
4/7/2021,59.77,59.26,60.04,58.12,475.54K,0.74%
4/6/2021,59.33,58.8,60.9,58.62,457.35K,1.16%
4/5/2021,58.65,61.5,61.5,57.63,438.86K,-4.56%
4/1/2021,61.45,59.49,61.75,58.86,605.57K,3.87%
3/31/2021,59.16,60.45,61.17,58.85,414.16K,-2.30%
3/30/2021,60.55,61.96,62.27,59.94,388.19K,-1.64%
3/29/2021,61.56,60.93,61.77,59.41,449.36K,0.97%
3/26/2021,60.97,58.48,61.36,58.32,472.00K,4.12%
3/25/2021,58.56,60.8,60.86,57.44,580.11K,-4.28%
